Company name,Symbol,Sector,Date added
Adani Enterprises,ADANIENT.NS,Diversified,9/30/2022
Adani Ports & SEZ,ADANIPORTS.NS,Infrastructure,9/28/2015
Apollo Hospitals,APOLLOHOSP.NS,Healthcare,3/31/2022
Asian Paints,ASIANPAINT.NS,Consumer Durables,4/27/2012
Axis Bank,AXISBANK.NS,Banking,3/27/2009
Bajaj Auto,BAJAJ-AUTO.NS,Automobile,10/1/2010
Bajaj Finance,BAJFINANCE.NS,Financial Services,9/29/2017
Bajaj Finserv,BAJAJFINSV.NS,Financial Services,4/2/2018
Bharat Petroleum,BPCL.NS,Energy - Oil & Gas,10/28/2002
Bharti Airtel,BHARTIARTL.NS,Telecommunication,3/1/2004
Britannia Industries,BRITANNIA.NS,Consumer Goods,3/29/2019
Cipla,CIPLA.NS,Pharmaceuticals,10/7/1998
Coal India,COALINDIA.NS,Energy - Coal,10/10/2011
Divi's Laboratories,DIVISLAB.NS,Pharmaceuticals,9/25/2020
Dr. Reddy's Laboratories,DRREDDY.NS,Pharmaceuticals,10/1/2010
Eicher Motors,EICHERMOT.NS,Automobile,4/1/2016
Grasim Industries,GRASIM.NS,Materials,4/2/2018
HCLTech,HCLTECH.NS,Information Technology,10/28/2002
HDFC Bank,HDFCBANK.NS,Banking,4/22/1996
HDFC Life,HDFCLIFE.NS,Financial Services,7/31/2020
Hero MotoCorp,HEROMOTOCO.NS,Automobile,10/7/1998
Hindalco Industries,HINDALCO.NS,Metals,4/22/1996
Hindustan Unilever,HINDUNILVR.NS,Consumer Goods,4/22/1996
ICICI Bank,ICICIBANK.NS,Banking,1/25/2002
IndusInd Bank,INDUSINDBK.NS,Banking,4/1/2013
Infosys,INFY.NS,Information Technology,10/7/1998
ITC,ITC.NS,Consumer Goods,4/22/1996
JSW Steel,JSWSTEEL.NS,Metals,9/28/2018
Kotak Mahindra Bank,KOTAKBANK.NS,Banking,4/8/2010
LTIMindtree,LTIM.NS,Information Technology,7/13/2023
Mahindra & Mahindra,M&M.NS,Automobile,9/18/1996
Maruti Suzuki,MARUTI.NS,Automobile,3/1/2004
Nestlé India,NESTLEIND.NS,Consumer Goods,9/27/2019
NTPC,NTPC.NS,Energy - Power,9/24/2007
Oil and Natural Gas Corporation,ONGC.NS,Energy - Oil & Gas,4/12/2004
Power Grid,POWERGRID.NS,Energy - Power,3/14/2008
Reliance Industries,RELIANCE.NS,Diversified,4/22/1996
SBI Life Insurance Company,SBILIFE.NS,Financial Services,9/25/2020
State Bank of India,SBIN.NS,Banking,4/22/1996
Sun Pharma,SUNPHARMA.NS,Pharmaceuticals,1/17/2002
Tata Motors,TATAMOTORS.NS,Automobile,4/22/1996
Tata Steel,TATASTEEL.NS,Metals,4/22/1996
Tata Consultancy Services,TCS.NS,Information Technology,2/25/2005
Tata Consumer Products,TATACONSUM.NS,Consumer Goods,3/31/2021
Tech Mahindra,TECHM.NS,Information Technology,3/28/2014
Titan Company,TITAN.NS,Consumer Durables,4/2/2018
UltraTech Cement,ULTRACEMCO.NS,Materials,9/28/2012
UPL,UPL.NS,Chemicals,9/29/2017
Wipro,WIPRO.NS,Information Technology,9/27/2013
Larsen & tuobro,LT.NS,transport,9/27/2013
